tcg_category_id,tcg_group_id,tcg_product_id,tcg_subtype,game,set,number,name,vars,rarity,value,value_updated,language,condition,psa_10,cgc_10,grade_9
3,24073,623457,Holofoil,Pokemon,SV09: Journey Together,30,Reshiram ex,Holofoil,Double Rare,0.63,2026-03-28 00:01:14,en,,32.41,25.99,11.5
3,24073,623470,Holofoil,Pokemon,SV09: Journey Together,43,Veluza ex,Holofoil,Double Rare,0.58,2026-03-28 00:01:14,en,,43.68,12.0,10.5
3,24073,623480,Holofoil,Pokemon,SV09: Journey Together,53,Iono's Bellibolt ex,Holofoil,Double Rare,0.66,2026-03-28 00:01:14,en,,44.26,16.0,15.0
3,24073,623591,Holofoil,Pokemon,SV09: Journey Together,164,Lillie's Ribombee,Holofoil,Illustration Rare,5.19,2026-03-28 00:01:14,en,,69.07,22.75,17.63
3,24073,623525,Holofoil,Pokemon,SV09: Journey Together,98,N's Zoroark ex,Holofoil,Double Rare,2.18,2026-03-28 00:01:14,en,,48.5,10.77,10.24
3,24073,623483,Holofoil,Pokemon,SV09: Journey Together,56,Lillie's Clefairy ex,Holofoil,Double Rare,2.46,2026-03-28 00:01:14,en,,32.01,15.5,10.0
3,24073,623593,Holofoil,Pokemon,SV09: Journey Together,166,Lycanroc,Holofoil,Illustration Rare,2.66,2026-03-28 00:01:14,en,,50.0,16.75,16.25
3,24073,623478,Holofoil,Pokemon,SV09: Journey Together,51,Tapu Koko ex,Holofoil,Double Rare,0.53,2026-03-28 00:01:14,en,,17.55,13.25,9.56
3,24073,623588,Holofoil,Pokemon,SV09: Journey Together,161,Articuno,Holofoil,Illustration Rare,19.05,2026-03-28 00:01:14,en,,178.24,78.19,30.0
3,24073,623541,Holofoil,Pokemon,SV09: Journey Together,114,Salamence ex,Holofoil,Double Rare,0.75,2026-03-28 00:01:14,en,,55.44,12.08,11.59
3,24073,623602,Holofoil,Pokemon,SV09: Journey Together,175,N's Zoroark ex,Holofoil,Ultra Rare,5.87,2026-03-28 00:01:14,en,,36.7,17.27,17.4
3,24073,623438,Holofoil,Pokemon,SV09: Journey Together,11,Amoonguss ex,Holofoil,Double Rare,0.54,2026-03-28 00:01:14,en,,39.95,5.67,8.88
3,24073,623595,Holofoil,Pokemon,SV09: Journey Together,168,Furret,Holofoil,Illustration Rare,6.22,2026-03-28 00:01:14,en,,77.95,28.96,19.99
3,24073,623604,Holofoil,Pokemon,SV09: Journey Together,177,Salamence ex,Holofoil,Ultra Rare,2.59,2026-03-28 00:01:14,en,,51.51,22.49,26.18
3,24073,623445,holofoil,Pokemon,SV09: Journey Together,18,Meowscarada,holofoil,Rare,0.17,2026-03-28 00:01:14,en,,35.15,28.0,11.64
3,24073,623522,holofoil,Pokemon,SV09: Journey Together,95,Tyranitar,holofoil,Rare,0.18,2026-03-28 00:01:14,en,,33.72,27.0,11.18
3,24073,623482,holofoil,Pokemon,SV09: Journey Together,55,Iono's Kilowattrel,holofoil,Rare,0.13,2026-03-28 00:01:14,en,,34.74,28.0,11.51
3,24073,623534,holofoil,Pokemon,SV09: Journey Together,107,Magearna,holofoil,Rare,0.11,2026-03-28 00:01:14,en,,32.01,26.0,10.64
3,24073,623464,holofoil,Pokemon,SV09: Journey Together,37,Ludicolo,holofoil,Rare,0.1,2026-03-28 00:01:14,en,,31.7,25.0,10.54
3,24073,623464,holofoil,Pokemon,SV09: Journey Together,37,Ludicolo,holofoil,Rare,0.1,2026-03-28 00:01:14,en,,31.7,25.0,10.54
3,24073,623445,holofoil,Pokemon,SV09: Journey Together,18,Meowscarada,holofoil,Rare,0.17,2026-03-28 00:01:14,en,,35.15,28.0,11.64
3,24073,623448,holofoil,Pokemon,SV09: Journey Together,21,Magmortar,holofoil,Rare,0.18,2026-03-28 00:01:14,en,,35.64,29.0,11.79
3,24073,623543,holofoil,Pokemon,SV09: Journey Together,116,N's Reshiram,holofoil,Rare,0.17,2026-03-28 00:01:14,en,,32.73,26.0,14.5
3,24073,623534,holofoil,Pokemon,SV09: Journey Together,107,Magearna,holofoil,Rare,0.11,2026-03-28 00:01:14,en,,32.01,26.0,10.64
3,24073,623544,holofoil,Pokemon,SV09: Journey Together,117,Hop's Snorlax,holofoil,Rare,0.28,2026-03-28 00:01:14,en,,135.76,14.5,14.0
3,24073,623494,holofoil,Pokemon,SV09: Journey Together,67,Lillie's Ribombee,holofoil,Rare,0.15,2026-03-28 00:01:14,en,,31.79,25.0,10.57
3,24073,623490,holofoil,Pokemon,SV09: Journey Together,63,Metagross,holofoil,Rare,0.13,2026-03-28 00:01:14,en,,32.24,26.0,10.71
3,24073,623512,holofoil,Pokemon,SV09: Journey Together,85,Lycanroc,holofoil,Rare,0.12,2026-03-28 00:01:14,en,,33.8,27.0,11.21
3,24073,623494,holofoil,Pokemon,SV09: Journey Together,67,Lillie's Ribombee,holofoil,Rare,0.15,2026-03-28 00:01:14,en,,31.79,25.0,10.57
3,24073,623555,holofoil,Pokemon,SV09: Journey Together,128,Noivern,holofoil,Rare,0.15,2026-03-28 00:01:14,en,,31.79,25.0,10.57
3,24073,623563,holofoil,Pokemon,SV09: Journey Together,136,Hop's Dubwool,holofoil,Rare,0.09,2026-03-28 00:01:14,en,,33.94,27.0,8.35
3,24073,623430,holofoil,Pokemon,SV09: Journey Together,3,Butterfree,holofoil,Rare,0.16,2026-03-28 00:01:14,en,,33.13,27.0,11.0
3,24073,623522,holofoil,Pokemon,SV09: Journey Together,95,Tyranitar,holofoil,Rare,0.18,2026-03-28 00:01:14,en,,33.72,27.0,11.18
